feature,direction,threshold,selected_events,selected_positive,selected_negative,win_rate_pct,average_profit_usd,total_profit_usd,median_profit_usd,best_profit_usd,worst_profit_usd,precision,recall,false_positive_rate,training_cycle_start,training_cycle_end
composite_market_score,HIGHER,78.67426315789473,244,0,244,0.0,-0.0024345860655737733,-0.5940390000000006,-0.0020175000000000037,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.27232142857142855,1,9
score_dispersion,LOWER,5.583255588943701,94,0,94,0.0,-0.0064639893617021325,-0.6076150000000005,-0.0032535000000000185,-0.0014259999999999256,-0.026703000000000032,0.0,0.0,0.10491071428571429,1,9
maximum_component_score,HIGHER,93.85,259,0,259,0.0,-0.0024422277992278024,-0.6325370000000008,-0.002013000000000041,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.2890625,1,9
intelligence_score,HIGHER,46.60759999999999,169,0,169,0.0,-0.003918307692307691,-0.6621939999999998,-0.0023210000000000158,-0.0004340000000000437,-0.021935999999999956,0.0,0.0,0.18861607142857142,1,9
liquidity_score,HIGHER,89.85315789473684,284,0,284,0.0,-0.0024505880281690154,-0.6959670000000003,-0.0020109999999999833,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.3169642857142857,1,9
volume_score,HIGHER,89.27684210526316,281,0,281,0.0,-0.0025427330960854128,-0.714508000000001,-0.0020550000000000273,-0.0004340000000000437,-0.008535999999999986,0.0,0.0,0.31361607142857145,1,9
market_score,HIGHER,85.55052631578947,297,0,297,0.0,-0.0024060168350168386,-0.7145870000000011,-0.002052000000000052,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.3314732142857143,1,9
composite_market_score,HIGHER,77.25790947368422,291,0,291,0.0,-0.002465395189003439,-0.7174300000000008,-0.0020550000000000273,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.3247767857142857,1,9
maximum_component_score,HIGHER,92.59,309,0,309,0.0,-0.0024815760517799368,-0.7668070000000005,-0.0020310000000000033,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.34486607142857145,1,9
minimum_component_score,HIGHER,16.417894736842104,169,0,169,0.0,-0.004638940828402366,-0.7839809999999998,-0.0024089999999999927,-0.0004340000000000437,-0.103881,0.0,0.0,0.18861607142857142,1,9
intelligence_score,HIGHER,34.49810526315789,179,0,179,0.0,-0.004442061452513965,-0.7951289999999999,-0.0024819999999999825,-0.0004340000000000437,-0.04149899999999995,0.0,0.0,0.19977678571428573,1,9
liquidity_score,HIGHER,87.61684210526316,334,0,334,0.0,-0.002484113772455091,-0.8296940000000004,-0.0020399999999999845,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.37276785714285715,1,9
